,tf,df,tfidf,all_tf,all_df,all_tf-idf,midf,tf_ev,df_ev,tf_chi,df_chi
現金,858,406,15.29972327398492,4227.0,2333.0,34.20209334535726,-9.727896007682025,136.37442407769566,75.26887423072249,3818.4833802012445,1453.2312150347905
灣行動,150,64,22.963366542557267,171.0,80.0,43.18299358316685,-8.202482446576537,5.516921343100534,2.5810158330294892,3783.8784930806632,1461.5530706275501
使用,1663,793,10.970881262808991,12870.0,7502.0,26.054703803577585,-10.226440604269312,415.22092213861913,242.03475974234036,3749.696954405438,1254.2111566757608
台灣行動,146,62,23.05007641551057,166.0,77.0,43.207946218670365,-8.19600993207092,5.35560785353619,2.484227739290884,3693.4827162872716,1425.8463874973409
支付的,187,139,18.97288430269705,269.0,215.0,39.848836623976666,-8.415502990259299,8.678665738561659,6.936480051266752,3663.984673529976,2514.3550002806396
簽帳,124,46,24.158228136512783,124.0,46.0,44.14416462145239,-7.979338895262328,4.000574541195708,1.4840841039919563,3599.448519746676,1335.2792895834443
玉山銀行,204,90,21.98408316520853,324.0,145.0,43.6439080065614,-8.456262967352636,10.453114123769431,4.67809119736595,3583.6590501968285,1556.1535281364309
付服務,141,104,19.83880487582138,163.0,121.0,40.324733397174604,-8.130738541717696,5.258819759797585,3.903786447457103,3503.7648853955657,2566.5471465742535
機信用卡,120,55,22.98795024908093,120.0,55.0,42.86129161144685,-7.979338895262328,3.871523749544234,1.7744483852077741,3483.3372771742015,1596.5295853715088
支付服務,136,100,19.95029510418802,153.0,114.0,40.26513767314485,-8.110367157668732,4.9361927806688985,3.6779475620670223,3479.9535443788423,2522.585662053776
推出,1536,785,10.951860341015468,11898.0,7053.0,26.500019966574637,-10.174863514688099,383.86157976731084,227.54880837946237,3458.0771021182522,1365.6491249162902
電子,1447,529,14.140439989500832,10863.0,5396.0,29.024217131185274,-10.301763680731675,350.4696874274918,174.08951793783908,3430.7638278677696,723.5441384964464
手機信用卡,118,54,23.02707937154387,118.0,54.0,42.842707718589175,-7.979338895262328,3.806998353718497,1.7421856872949055,3425.281655887965,1567.5017747283907
方支,226,86,22.632331933576907,411.0,213.0,42.4757562579997,-8.886283764718245,13.259968842189002,6.871954655441016,3413.154389400133,911.1305114758153
消費者,1147,492,14.326851165078855,7476.0,4014.0,30.90543460915281,-10.078403708126302,241.1959295966058,129.50246942225462,3401.7199847924103,1014.686903355543
萬事達,117,49,23.55299311850862,117.0,49.0,43.339397088480645,-7.979338895262328,3.774735655805628,1.5808721977305624,3396.2538452448466,1422.362721512799
街口,117,51,23.3224754221447,117.0,51.0,43.10887939211673,-7.979338895262328,3.774735655805628,1.6453975935562997,3396.2538452448466,1480.4183427990356
歐付寶,120,35,25.603810420604198,124.0,39.0,45.10497524932417,-8.08755247990256,4.000574541195708,1.258245218601876,3363.483561726349,904.8363537539021
的信用卡,113,91,19.865326600555672,113.0,91.0,39.53228048915203,-7.979338895262328,3.6456848641541537,2.935905510071044,3280.142602672374,2641.5307685237703
付的,235,173,18.25509420630488,465.0,377.0,39.14505912368293,-8.75829248821256,15.002154529483908,12.16303711315147,3226.1400798498553,2126.814905686241
萬事達卡,111,48,23.455537321877014,111.0,48.0,43.061170945619175,-7.979338895262328,3.5811594683284165,1.5486094998176938,3222.0869813861364,1393.3349108696805
新銀,213,92,21.994487751796314,389.0,179.0,43.353829081276224,-8.644936124054041,12.550189488105891,5.775022926403483,3201.5553687323927,1287.3969101231587
手續費收,108,78,20.584259436956298,108.0,78.0,40.095809269097686,-7.979338895262328,3.484371374589811,2.516490437203752,3135.0035494567815,2264.169230163231
台新銀,208,87,22.266501337146153,380.0,170.0,43.56612024082081,-8.649229213658005,12.259825206890074,5.484658645187665,3125.1845259999686,1211.515849217307
數位金,233,121,20.53719282247832,471.0,267.0,41.683729721207754,-8.770797008065836,15.195730716961119,8.61414034273592,3121.8439311357724,1466.2613967687787
數位金融,229,119,20.58929624893077,463.0,263.0,41.69166673832859,-8.772369434328562,14.93762913365817,8.485089551084446,3067.601840352925,1439.4126730189737
數位,790,295,17.5870885935872,4307.0,1964.0,35.883587327804854,-9.875102027836919,138.95543991072515,63.363938700873966,3050.3233230318633,846.7791932484843
行卡,130,60,22.795338088938237,159.0,82.0,42.521554124069326,-8.29171358030448,5.12976896814611,2.6455412288552265,3039.625116603194,1243.4256949208032
業者,1574,649,12.574724168884067,13438.0,6554.0,27.58152903992132,-10.291737007816998,433.5461345531285,211.44972212094092,2999.9921935720217,905.417343431361
事達,119,50,23.505520812846544,136.0,65.0,42.80049783490236,-8.241703159729818,4.387726916150132,2.0970753643364604,2993.7991567106706,1094.2335347953162
兌換,283,111,21.72934004109687,707.0,364.0,41.706861452445224,-9.166962561586734,22.809727424398112,11.743622040284176,2967.9871522950657,838.9088589437916
付業者,108,58,22.267680682392857,114.0,63.0,41.70243661396293,-8.06203061110744,3.6779475620670223,2.0325499685107227,2959.011905745196,1541.096411677578
位金融,233,123,20.43143572521499,494.0,288.0,41.41617814801732,-8.830115020025856,15.937772768957098,9.291656998906163,2956.24810150835,1391.5265349954814
灣行,159,68,22.81805530915296,241.0,141.0,41.92046775200719,-8.70859108046439,7.775310197001337,4.549040405714475,2941.2211508722694,885.0271517435168
客戶,1227,421,15.711193735692975,9212.0,4359.0,30.720888329956136,-10.316704013818338,297.20397317334573,140.63310020219433,2908.8462118182933,558.9409491024384
位金,238,126,20.342715571122497,526.0,315.0,41.12603550587155,-8.895629627136483,16.970179102168892,10.162749842553614,2878.8253460379474,1320.3383662809101
卡消費,106,77,20.589622401255543,113.0,84.0,39.99071611805819,-8.066350272251958,3.6456848641541537,2.7100666246809637,2873.6454787785683,2036.4791590904345
