,tf,df,tfidf,all_tf,all_df,all_tf-idf,midf,tf_ev,df_ev,tf_chi,df_chi
大陸央,334,222,29.63589647027856,406.0,289.0,40.26380056325951,-10.017518010526338,77.2416940126178,54.9823881025777,853.4875954784347,507.34214439496486
電子股,393,295,28.361042539394337,528.0,396.0,39.484046498224174,-10.048207559200847,100.45225231197587,75.3391892339819,851.9887081430081,640.4485139404813
投顧,782,480,27.429306657823787,1511.0,945.0,37.958223593876866,-10.431167527877992,287.4684720518855,179.78670158109315,850.7417540054813,501.30528985152546
經理人,853,598,26.03721097393365,1716.0,1244.0,36.21631397585461,-10.486265223634678,326.46982001392155,236.67159446230679,849.1873166847403,551.6429504141652
合計,889,677,25.209513653999554,1822.0,1470.0,35.05308514532208,-10.529115111146693,346.6363706674622,279.66820245947827,848.6077380061096,564.4994888528904
盤中一度,398,351,27.198135259664305,540.0,478.0,38.23386589700804,-10.062593213311777,102.73525804633896,90.93972841879634,848.601244585756,743.6941590965944
萬美元約,252,219,28.498979383275465,256.0,223.0,39.31040578656156,-9.771868745929805,48.704122333079205,42.425856563580716,848.5773256259534,734.8921307830333
股的,716,589,25.563764705229215,1329.0,1098.0,36.14338992881257,-10.376588142704074,252.84288508071197,208.89502469422257,848.4103202345666,691.6382640692043
幣億萬,249,231,28.09902702198573,251.0,233.0,38.90569022664962,-9.762389447330094,47.752869943761254,44.328361342216624,848.125094964348,786.0949429230484
子股,396,298,28.321330015858607,536.0,403.0,39.438093609984094,-10.055611779727464,101.9742561348846,76.67094257902704,847.7741474385728,638.9193873332708
成交量億,282,260,27.85009468101559,309.0,284.0,38.81238124814556,-9.842061311431864,58.78739765984952,54.03113571325975,847.5263037113606,785.1616016495944
整理,864,608,25.951546761260524,1751.0,1324.0,35.77510651082419,-10.532006558816972,333.12858673914724,251.89163269139402,845.9930148181929,503.4433574161896
外匯經紀公司,245,237,27.86249798418764,245.0,237.0,38.65077538419172,-9.753768704286186,46.61136707657971,45.08936325367099,844.3873703288011,816.8155378282687
汽柴油,336,141,32.756279209013904,413.0,181.0,43.64851751914096,-10.003505845173843,78.57344735766294,34.43533649330991,843.3947120032409,329.7783226396041
幣對美,250,174,29.964243899952567,254.0,177.0,40.77356787003056,-9.770863137645486,48.32362137735203,33.67433458185555,841.6869542274859,584.7566884262983
元無鉛汽油,321,133,32.93235931639824,384.0,164.0,43.881603163788526,-9.96328600388863,73.05618349961881,31.201078369628867,841.4912084901816,332.13661150871656
外資及陸資,247,163,30.33387009501952,249.0,165.0,41.10712005996085,-9.765963977380004,47.37236898803407,31.39132884749246,841.232809647239,551.7715547079322
台幣億萬,244,227,28.12506322496348,244.0,227.0,38.906553647120134,-9.753768704286186,46.42111659871612,43.18685847503508,840.9408912662348,782.3507472026035
及陸資,251,167,30.2505308933027,256.0,172.0,41.01003975832639,-9.783269368682884,48.704122333079205,32.723082192537596,840.2496577427287,550.9960996273074
月以來,738,616,25.325100223293852,1399.0,1179.0,35.78311611354626,-10.402943641290037,266.1604185311634,224.30531340117338,836.4601764203343,683.9995236107073
歷史新,852,603,25.96875957989664,1725.0,1240.0,36.265963781860684,-10.474718166158082,328.18207431469386,235.9105925508524,836.0761928945237,571.2106082405726
萬日,266,137,31.82322399691273,283.0,152.0,42.459766847762495,-9.857668299304338,53.84088523539616,28.918072635265784,836.0094708864261,403.9585614924339
點成交金額,259,258,27.543983115692924,271.0,270.0,38.38973984003851,-9.799231078362943,51.55787950103307,51.36762902316948,834.6393174732034,831.2031827719354
獎注中獎,343,117,34.13117953524528,430.0,170.0,44.34209251484771,-10.127393206538692,81.80770548134397,32.34258123681041,833.9240700434759,221.59265827209632
餘元,586,389,27.946278219255692,994.0,670.0,38.76517019319668,-10.29746707305275,189.1089749964091,127.46782016860574,832.9720243652749,536.5988136997017
走弱,368,300,27.97764077272602,483.0,394.0,39.03654118314393,-10.026337138927918,91.89098080811429,74.95868827825473,829.6373573191112,675.6200401139527
權股價,319,308,27.220889187015967,384.0,364.0,38.339943157983754,-9.920822788949351,73.05618349961881,69.251173942347,827.9704465411719,823.1052081710836
基本點,250,177,29.8527632208869,257.0,184.0,40.592789343594376,-9.792554729321342,48.8943728109428,35.00608792690068,827.1600792075733,575.9647038516754
幣億元月,240,236,27.80153204802914,240.0,236.0,38.55559351891158,-9.753768704286186,45.66011468726175,44.899112775807396,827.1549750159687,813.3690587657023
月期貨,377,145,33.115577624663786,503.0,214.0,43.664399519771365,-10.143010976887464,95.69599036538611,40.7136022628084,826.9097329404252,267.12577980196454
股為,461,253,30.105644836969915,691.0,463.0,39.76712059511539,-10.3581062696449,131.46308020374113,88.08597125084248,826.0462278877565,308.75105867687006
因素,1608,1288,21.735814376211962,4188.0,3411.0,30.620388356445872,-10.727683580040532,796.7690012927176,648.9443799927077,825.9554929921817,629.317547164048
點成交值,252,247,27.713380631049933,261.0,255.0,38.54633164353437,-9.785643912816635,49.65537472239716,48.51387185521562,824.550164159086,812.0717139106741
開盤後,343,322,27.208814322213797,433.0,400.0,38.335545501658565,-9.97068170584976,82.37845691493476,76.10019114543627,824.5309667572366,794.5672025862864
漲點台北股市,239,239,27.70181091971391,239.0,239.0,38.44894372178094,-9.753768704286186,45.46986420939817,45.46986420939817,823.708495953402,823.708495953402
加權股價指數,312,303,27.241974944316826,372.0,354.0,38.357555741150826,-9.909332811910591,70.77317776525572,67.3486691637111,822.2095093494585,824.5381893134079
場新,455,452,25.91849868482763,679.0,656.0,37.05426338631038,-10.126247313398043,129.18007446937807,124.80431347851547,821.7879135682398,857.7990158705129
漲幅成交,284,249,28.16715467092009,319.0,278.0,39.14042824454326,-9.863936921512115,60.68990243848542,52.8896328460782,821.6753968830017,727.1609583143058
破元,343,261,28.64495063088533,434.0,329.0,39.730173326432435,-9.985306047728864,82.56870739279834,62.592407217121334,821.4305432492886,628.9192990668151
回檔,447,344,27.79321413886523,661.0,523.0,38.619817362983056,-10.17270851097771,125.75556586783343,99.50099992265791,820.6236101657316,600.7955808010664
受惠,1382,1057,22.97005433945041,3423.0,2618.0,32.377050998362535,-10.660744664885794,651.2273857270709,498.0757510468803,820.0340241758543,627.2064347866741
年線,442,253,29.92801683740649,650.0,391.0,40.70818846823934,-10.189086775544032,123.66281061133394,74.38793684466395,819.4748740296507,428.8634751522106
股匯,357,269,28.60489738045423,464.0,344.0,39.787298098731064,-9.999698982057746,88.27622172870606,65.44616438507519,818.0285426162181,633.1030150178943
億美元約新台,237,204,28.69004262408715,237.0,204.0,39.423230690559684,-9.753768704286186,45.08936325367099,38.8110974841725,816.8155378282687,703.081728763573
台幣約,237,216,28.32033856579847,237.0,216.0,39.053526632271016,-9.753768704286186,45.08936325367099,41.09410321853559,816.8155378282687,744.4394775143714
暫收元,237,217,28.29046294621131,237.0,217.0,39.02365101268386,-9.753768704286186,45.08936325367099,41.28435369639917,816.8155378282687,747.8859565769383
大陸,10103,3553,16.130347228751653,40000.0,13761.0,21.843290042690683,-11.10781489153044,7610.0191145436265,2618.0368258808708,816.6804316395669,333.8975710033401
營業,1813,961,24.53715342316081,4932.0,2664.0,33.505524325548436,-10.773378326976173,938.3153568232292,506.82727302860553,815.3689689141562,406.98848878440424
億美元新,256,253,27.623130848824925,270.0,267.0,38.4419696255599,-9.807627873958914,51.36762902316948,50.796877589578706,815.1905791235108,804.8940142122408
圓的,316,243,28.78423990250671,382.0,299.0,39.6773744971805,-9.961150834336324,72.67568254389164,56.8848928812136,814.6703462980728,608.9285106006924
獎金,942,463,28.37871394385704,2015.0,984.0,38.92325222803465,-10.507667547252206,383.35471289513515,187.20647021777322,814.0882224913355,406.3004391956039
中間匯,236,170,29.849783088022185,236.0,170.0,40.57595459532838,-9.753768704286186,44.899112775807396,32.34258123681041,813.3690587657023,585.901440636311
間匯率,236,170,29.849783088022185,236.0,170.0,40.57595459532838,-9.753768704286186,44.899112775807396,32.34258123681041,813.3690587657023,585.901440636311
下跌點,779,509,26.96631272273289,1534.0,738.0,40.08805311949338,-10.125264512336136,291.8442330427481,140.4048526633299,813.1760521885885,967.6473431151234
盤面,477,366,27.60307627946033,735.0,566.0,38.56621465066355,-10.189729449088002,139.83410122973913,107.68177047079232,812.9693851057613,619.6806331783322
國銀,690,310,30.276370405056248,1285.0,585.0,41.13172453323809,-10.388808254038851,244.47186405471402,111.29652955020055,811.9352330641082,354.75561842191496
間匯,245,177,29.76028292459027,252.0,183.0,40.506595214443095,-9.787105124553777,47.94312042162485,34.81583744903709,809.9475680279512,580.664937613838
幣億元約新台,235,191,29.077793678385397,235.0,191.0,39.79691883212946,-9.753768704286186,44.7088622979438,36.33784127194582,809.9225797031359,658.277500950208
連續,1928,1514,20.821875621483727,5359.0,4167.0,29.50956054393188,-10.766209901711246,1019.5523108709823,792.7737412575823,809.4505746142984,656.135905150491
證指,308,208,29.721672768079873,368.0,261.0,40.40304263920096,-9.98075103190756,70.01217585380137,49.65537472239716,808.9764923191822,504.9407137591334
點大關,364,291,28.14346002827629,482.0,385.0,39.191138016449344,-10.033688771402478,91.7007303302507,73.24643397748241,808.5747190414564,647.3573243183396
回升,900,700,24.98863896073955,1894.0,1463.0,35.253561629773834,-10.490932770262905,360.33440507364077,278.33644911443315,808.2463129983422,638.795783703936
定存,333,96,35.33031429169471,418.0,152.0,44.95181526357602,-10.213301033664626,79.5246997469809,28.918072635265784,807.9216651276622,155.6115110340969
股日,317,232,29.110801714189506,386.0,298.0,39.76018539170936,-10.00412481912528,73.436684455346,56.69464240335002,807.8127317305124,542.0612442256697
元較去年同期,578,413,27.4535737726655,989.0,724.0,38.12832849106721,-10.31511250371087,188.15772260709116,137.74134597323965,807.7106755817105,550.0695966143951
匯入,431,229,30.525916941668005,630.0,353.0,41.29928147330717,-10.186514757665243,119.85780105406211,67.15841868584751,807.7026869635918,390.0136119164626
上漲點漲,292,157,31.364203876725803,338.0,179.0,42.47889640800251,-9.884908704778633,64.30466151789365,34.05483553758273,806.2427504117157,443.8580667350289
外資及,261,177,30.049873156753286,281.0,197.0,40.692973031592466,-9.860822700450345,53.46038427966897,37.47934413912736,805.693649114364,519.3797772871402
幣億元的,238,226,28.04586143112625,241.0,229.0,38.775586927623856,-9.76695570856814,45.85036516512535,43.56735943076227,805.2603732643515,763.9129104887865
