,tf,df,tfidf,all_tf,all_df,all_tf-idf,midf,tf_ev,df_ev,tf_chi,df_chi
金額新台幣億,53,53,20.356335679679283,484.0,482.0,37.599926413537226,-10.273545747462752,17.02692609411427,16.95656689537826,76.00091990095837,76.61510009561178
成為,713,503,13.967989626203853,14645.0,11074.0,22.251655286707443,-11.157658674247447,515.2052327444286,389.57888340128386,75.93628221763967,33.02116782661626
盤價元,36,35,20.674170655441728,266.0,251.0,38.76184566493381,-10.035998424606644,9.357773431889246,8.830079441369175,75.85225712856814,77.56042814704898
隱憂,34,29,21.267547227179925,243.0,208.0,39.44953236502382,-10.036135796679117,8.548642646425138,7.317356668544975,75.77478880933849,64.24957032094157
英國脫歐公投,52,40,21.671663533367614,471.0,377.0,39.21532851294282,-10.309259280298347,16.569591302330206,13.262708961737767,75.76009797582505,53.901713000499214
帶頭,41,35,21.26078120593352,327.0,285.0,39.11487802637225,-10.16303466574351,11.503728993337532,10.026185819881334,75.63025900578509,62.20624731155022
獲利成,45,42,20.804311605316837,378.0,334.0,38.84956495566072,-10.139364921657606,13.29788856110577,11.749986188913565,75.5777028109263,77.87782222538331
年全年,84,68,20.889016844416254,956.0,785.0,37.328433418651684,-10.512069559570575,33.631696995812476,27.615985503883678,75.43377748192506,59.05523909668847
數也,56,54,20.487904050809327,528.0,498.0,37.81807237307621,-10.287509577424652,18.574828466306474,17.519440485266333,75.405458891158,75.96311215687741
八成,53,49,20.74636251535152,486.0,411.0,38.766643864530785,-10.192666463349882,17.097285292850277,14.458815340249926,75.39237377538642,82.51667993695607
元每股,95,78,20.60035530461137,1139.0,900.0,37.0610780419629,-10.511579483598993,40.06956368015734,31.661639431204218,75.3028622515922,67.8184610392444
台幣匯,68,54,21.279460550643467,705.0,427.0,40.484719082956964,-10.133693513628623,24.801617554443304,15.021688930138,75.24107013650253,101.14100624269612
將影響,44,40,20.940465450528727,366.0,340.0,38.545939471792096,-10.205959710460544,12.875733368689716,11.961063785121592,75.23610077951433,65.7284300281012
家上,41,30,21.987381544430765,328.0,281.0,39.2284838683568,-10.303050834635863,11.538908592705535,9.885467422409317,75.21993089170053,40.9282033440102
