,tf,df,tfidf,all_tf,all_df,all_tf-idf,midf,tf_ev,df_ev,tf_chi,df_chi
相信,345,294,24.14169926607481,3357.0,2805.0,31.678937333264933,-11.466819017837134,371.2443567900826,310.1997083098545,-1.8552908636254672,-0.8460051453763134
交易所,163,86,28.987315668912302,1641.0,1085.0,37.173858353098545,-11.746227936940072,181.47512347111274,119.98812246566564,-1.8808648851928942,-9.627556836483055
房市,207,79,30.66170791817405,2059.0,807.0,40.73226684063715,-11.535115783021945,227.7009623565028,89.24462196294209,-1.8819852057296662,-1.1760067649474253
天舉行,117,113,25.8367359776121,1201.0,1163.0,35.23125451835155,-11.542610301025343,132.8163456970179,128.613996707437,-1.8834789490311479,-1.8955704621669378
子的,160,139,25.982097024174823,1613.0,1333.0,35.3714792145985,-11.471953354267036,178.37865579457943,147.41397902924638,-1.893584113587049,-0.4802464703198354
受傷,255,173,26.544109758616404,2514.0,1760.0,34.78974489617673,-11.531017460753437,278.01856210016905,194.6351110963793,-1.9058231117979612,-2.404900274755112
版本,135,82,28.372015030033733,1375.0,849.0,38.409184064732756,-11.548579906266113,152.05868054404633,93.88932347774205,-1.913725548996409,-1.50556003092193
一起,571,442,22.923340642448498,5473.0,4250.0,29.384869037193628,-11.474604347059783,605.2488426309567,469.99955804523404,-1.9380181157574699,-1.6680340168596037
了解,761,624,21.186791622432093,7238.0,5728.0,27.288997364124803,-11.428211307490074,800.4368943838599,633.4488161136708,-1.9430246775929747,-0.14094292021526703
身體,182,140,26.488611717885327,1825.0,1327.0,35.930722964540855,-11.460273578941923,201.82333963118873,146.75045024141778,-1.9470730929909308,-0.3105174695334354
會被,114,106,26.08708831192323,1175.0,1059.0,35.89184028401841,-11.512881218708358,129.94105428309413,117.11283105174185,-1.9556345225807168,-1.0544960178615808
案的,207,174,25.66134600085382,2064.0,1761.0,34.007735858059945,-11.525821776500695,228.25390301302664,194.74569922768407,-1.9790609813202735,-2.2099796717069182
產業發展,131,100,27.06156884916566,1340.0,1028.0,36.71996122647344,-11.541440227246039,148.1880959483797,113.68459898129426,-1.9936192609804353,-1.6472613789107273
不受,121,111,26.090966900262483,1244.0,1086.0,35.9410824702533,-11.491966266400565,137.57163534312264,120.0987105969704,-1.996189819656453,-0.6893207605303793
釐清,144,103,27.3209161080264,1465.0,1095.0,36.595918361160294,-11.575020621239984,162.01161236147482,121.09400377871324,-2.0024378199273865,-2.7036266250009033
照片,258,148,27.614353164950447,2548.0,1473.0,36.41685236235885,-11.509084109917534,281.7785585645309,162.8963174119129,-2.006610617526235,-1.362217857113025
開收購,113,30,33.27636713071833,1168.0,326.0,45.3650076890081,-11.596939966923571,129.1669373639608,36.05173080535207,-2.0235043817270038,-1.0158581827369657
澄清,117,89,27.21246335382101,1207.0,919.0,37.159310764995524,-11.545889719842567,133.47987448484648,101.63049266907532,-2.0346607612904686,-1.5696996135108567
