,tf,df,tfidf,all_tf,all_df,all_tf-idf,midf,tf_ev,df_ev,tf_chi,df_chi
同步,1421,1215,30.888923472298746,2571.0,2197.0,32.914882817258466,-11.43482738654102,1452.9429546885876,1241.5852475499134,-0.7022659430258615,-0.5692524042830701
精采,855,845,31.803870313450613,1557.0,1546.0,33.98456534443666,-11.446568271721253,879.9036096655507,873.6872065144132,-0.7048383113348538,-0.9419341515641341
之間的,586,533,33.65151627898405,1074.0,979.0,36.11880459989503,-11.450488888295725,606.9469985746958,553.2598804512357,-0.7229243250542413,-0.7418986454676473
的海,926,723,33.352237202128784,1685.0,1336.0,35.53672822157542,-11.456504801868885,952.2399372424231,755.0104190836068,-0.7230680835338839,-1.3571560126969242
並表,541,523,33.42499083423574,993.0,960.0,35.918690384203444,-11.449830490328019,561.1716662799562,542.5224568265438,-0.7250831518406168,-0.7025079160292191
了這,522,491,33.71937430864752,959.0,914.0,36.14653752218656,-11.463865113590689,541.9573292673495,516.5265891036053,-0.7349194668588432,-1.261516376911236
財經,593,421,35.44779458591629,1087.0,868.0,37.134925156798985,-11.566037550909028,614.293656844222,490.5307213806667,-0.7381157476520481,-9.855695076770058
進一,3656,3208,25.48691869924963,6562.0,5713.0,27.044043170480514,-11.419575259669116,3708.3670434331043,3228.57374567713,-0.7394918587632252,-0.13110402441758234
表示由於,543,522,33.45586767695191,997.0,968.0,35.87136681953278,-11.460043169324997,563.4321765167335,547.0434773000984,-0.7409478098888068,-1.146482466761022
推出的,659,595,33.363062873058965,1206.0,1085.0,35.81132795042528,-11.443252530359988,681.5438363883457,613.1634017258334,-0.7456960682055229,-0.5380444451274049
談話,858,652,33.82894941767708,1564.0,1216.0,36.008892023935594,-11.465756170530518,883.859502579911,687.1951119802889,-0.7565839047139337,-1.8025388797302773
個小,666,585,33.53726711547525,1219.0,1075.0,35.93381345544205,-11.450942763260965,688.8904946578718,607.5121261338902,-0.7606067288564988,-0.834215155989313
出大,702,631,33.200842686208055,1284.0,1177.0,35.42462671345577,-11.465896914650122,725.6237860055023,665.1551371717104,-0.7691082844816441,-1.7538365563539233
進一步,3561,3124,25.657532466949448,6395.0,5570.0,27.220315348202764,-11.420759491892811,3613.9907410476535,3147.7605047123425,-0.7769855647071906,-0.17935341120776963
接獲,718,609,33.568763708215606,1313.0,1111.0,35.99367094288936,-11.443676191860792,742.0124852221375,627.8567182648856,-0.7770751274768001,-0.566332752963002
保險,3276,1081,35.075533935260374,5887.0,1888.0,37.462662314937184,-11.400110198997297,3326.905940976941,1066.9608317588695,-0.7789263876774487,0.18472866016820239
在大,1909,1569,29.80573980296946,3447.0,2826.0,31.70263592001749,-11.4309024804425,1947.994696542809,1597.0504822831383,-0.7805906048740303,-0.49267669685169063
月初,726,648,33.14687974369113,1328.0,1198.0,35.426078099902725,-11.45699675225418,750.4893986100523,677.0228159147912,-0.7991194084723433,-1.2441587252649837
人在,1628,1450,29.913110016357287,2946.0,2628.0,31.81108697870163,-11.43713821412094,1664.8657893864563,1485.1552255626636,-0.8163339265848032,-0.8321620953079379
顧客,563,330,36.984559924094675,1035.0,633.0,39.414636807163035,-11.49385643761471,584.9070237661175,357.7257449700023,-0.8205025256819934,-2.1489002258030694
出在,619,603,32.98495809278577,1136.0,1107.0,35.385503260815184,-11.449970405912511,641.9849072447436,625.5962080281083,-0.822925827519586,-0.8161632226942879
我不,534,428,34.82472129171984,983.0,812.0,37.193823240760814,-11.48285581451094,555.5203906880131,458.88357806578495,-0.8336817570119015,-2.0785128074657275
海上,860,658,33.76805006225166,1570.0,1082.0,37.001334724260545,-11.339840198012169,887.2502679350769,611.4680190482504,-0.8369421000702535,3.541027795148072
後短,911,93,49.30882150345749,1662.0,152.0,53.77094027274986,-11.33375969762408,939.242003380954,85.89938899753611,-0.8492068626601945,0.5869503519956059
從月,536,484,33.94693341467151,987.0,901.0,36.39188061773086,-11.463899020822765,557.7809009247903,509.17993083407913,-0.8505268723059058,-1.2451962035707431
